Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"St. Joseph, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2017-06,No,,No,,No,Yes,Yes,No,NOT KNOWN,2017-02-01,,https://stjosephtownship.com/documents/assets/uploads/files/en/dog_by_law_pt_1_&amp;_pt_2.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"St. Marys, T",By-law 106-2022,Yes,non-residential farm buildings constructed for bona fide farm uses,2023-01-01,2024-01-01,https://www.townofstmarys.com/en/doing-business/Planning-Fees-and-Development-Charges.aspx,,,,,,,BY-LAW 72-2018Site Alteration By-Law,Yes,"SEE SECTION 4.1 EXCEPTIONS (h)(h) the Removal of Soil as an incidental part of a normal agricultural practice, provided however that this provision shall not exempt from the provisions of this By-law the Removal of Topsoil for sale, exchange or other disposition.",2018-08-28,,https://stmarys.civicweb.net/filepro/document/3154/72-2018%20Site%20Alteration.pdf,BY-LAW 56-2023Animal Control By-Law,No,,No,,No,Yes,Yes,No,NOT KNOWN,2023-05-23,,https://www.townofstmarys.com/en/town-services/resources/Documents/By-laws/56-2023-Animal-Control.pdf,BY-LAW 56-2023Animal Control By-Law,No,,,,,,,https://www.townofstmarys.com/en/town-services/resources/Documents/By-laws/56-2023-Animal-Control.pdf,BY-LAW 37-2022,No,eone,2022-04-12,,given by emailhttp://given by email,YES,YES,NO,,,NO,
"St. Thomas, C",BY-LAW NUMBER 158-2020,Yes,"The following uses are wholly exempt from development charges under the by-law: A non-residential farm building, except for the gross floor area in a greenhouse used for retail sales.",2021-10-12,2026-10-12,,BY-LAW NO. 172 -2006,No,Residential: $/month $13.03 Commercial &amp; Institutional: $13.03 Industrial: $179.50 / ha,,,https://www.stthomas.ca/common/pages/GetFile.ashx?key=%2fyE6ATrf,BY-LAW NO. 161-2010,No,,2010-11-01,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_12189721/File/City%20Hall/Planning%20and%20Building%20Services/Building%20Services/Site%20Alteration%20By-law/Site%20Alteration%20By-law%20161-2010.pdf,BY-LAW NO. 71-2011amended 2021,No,,No,,,,No,,3 (including both cats and dogs),2021-07-12,,https://www.stthomas.ca/common/pages/DownloadFileByUrl.aspx?key=A16K3VQhAQ3iMmCPGkQzHVkCLTTfKcnpsjklUgmCFSWrsBSrqViJSbnXCspeC4pXPwJ4wmrIhZVkzYPi%2bvaI7%2bJcf4NPfgY8RuYG30EeZkWXXKQKBtEBt0lLnQRWzMtUBflj7MC5A%2b1Vaqm4G9SxxEnJVdbUjuyHs0YQS8PB19bJrvtVmaHjEAjPt67ME2%2buwV1gJhtKdf9SdReU72HvamEUy8o%3d,Animal Control By-law,No,,,,,,,https://www.stthomas.ca/common/pages/DownloadFileByUrl.aspx?key=Y7UpuSp92qz5G%2b%2fcmshUC0sYtFddGSbnM64IT5soGT0gZ1mcB2XC3T31BeuniP6DDgP8S6eqj5mhQXkFmfwIhiB5I0bpdKVemY4MMhkpdXAtZVWXQTKeCyhxYjbLp3gfLFfWuw4VpNaGYJRFizD8U9Ef0Gk9bXrj1JWnHD8iJSO0KAhOGJJn%2bWuW6PY7PiA9ob3UWn5gjn2zdJyBtUdiqzTE0rAsyDOiwNwm1CMr6zr7XF%2by1ufM55ja0jiyCSZY8gKKk7Fw%2f1Fi5NvEfR%2fi47wlRvXAmfqWyx979fBjhJfBGxkU,By-law 101-2021,No,,2021-06-14,,https://www.stthomas.ca/common/pages/DownloadFileByUrl.aspx?key=6LlY9JyyqwnJCnRVeBCGP9tnAbWFrehdU3q%2f%2fJBhK%2frbfS0F0AvSS2EBrEgN3%2bEYh2Y8KYZbImq1x%2bS2h9F9hAc9I7gQB0lxzClbc6%2fBRcVQ0Q9lgCJVqQeL0IkbasqgL%2flHzgB2hiK21BiCDNVcmDuSXnFnePYHMb4ZF9AxHfcZlMFE13b%2f1u1%2f2vzpDtXUuu%2fLGQ%3d%3d,YES,YES,NO,,,NO,
"Stirling-Rawdon, Tp",By-Law No. 54-24,No,,2024-11-19,2034-11-19,"https://stirling-rawdon.civicweb.net/document/57149/:~:text=The%20Corporation%20of%20The%20Township,capital%20cost%20of%20meeting%20growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NO. 1325-19,No,,2019-10-07,,https://stirling-rawdon.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=28239&amp;preview=28414http:// https://stirling-rawdon.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=28239&amp;preview=28414,NO,,NO,,,,
"Stone Mills, Tp",BY-LAW NUMBER 2024-1276,Yes,"Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: c) Agricultural Uses: Non-residential farm buildings constructed and used exclusively for bona fide agricultural purposes operating with a valid Farm Business Registration Number and assessed in Farmland Reality Tax Class;",2024-11-18,2034-11-18,https://www.stonemills.com/media/hyxau0ze/2024-1276-being-a-by-law-to-impose-dcs.pdf,,,,,,,,,,,,,By-law Number 2010-532,No,,No,,No,Yes,Yes,No,NOT KNOWN,2010-05-17,,https://www.stonemills.com/sites/default/files/Stone-Mills/Resources/bylaw/Bylaw_2010-532-dog_licence.pdf,By-Law 2020-1021,Yes,6,2020-08-10,,,,NOT KNOWN,https://www.stonemills.com/media/cxkcmz1c/2020-1021-backyard_hen_bylaw.pdf,,,,,,,NO,NO,NO,,,NO,
"Stormont Dundas and Glengarry, Uco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,,
"Stratford, C",BY-LAW 41-2022,No,,2022-04-06,2027-04-06,https://www.stratford.ca/en/inside-city-hall/resources/InfrastructureDevelopmentServices/Planning/Planning_Services/By-law-41-2022---Development-Charges-AODA.pdf,,,,,,,By-Law No. 102-2022,No,"to prohibit and regulate the placing or dumping of fill, removal of topsoil and the alteration of the grade of land",2022-08-08,,given by emailhttp://given by email,BY-LAW NUMBER 195-2002,No,,No,,No,Yes,Yes,No,3 (dogs and cats combined),2002-10-28,,https://www.stratford.ca/en/inside-city-hall/resources/Animal-Control/Animal-Control-Bylaw.pdf,Animal Control By-law,No,,,,,,,https://www.stratford.ca/en/inside-city-hall/resources/By-laws/Animal-Control---195-2002---Accessible.pdf,,No,,,,,YES,YES,NO,,,NO,https://www.stratford.ca/en/inside-city-hall/resources/Bylaws/128-2003-Fence-Hedge-Bylaw.pdf
"Strathroy-Caradoc, M",BY-LAW NO. 34-22,Yes,Exemptions from the Payment of Development Charges 6. (1) These rules provide for an exemption by user for all development upon lands owned and occupied by:  (3) farm buildings as defined in this by-law are exempt from paying development charges,2022-05-16,,https://www.strathroy-caradoc.ca/media/0s5lauz5/34-22-2022-s-c-development-charges-by-law.pdf,,,,,,,BYLAW NO. 07-22Site Alteration By-Law,Yes,"c) Normal farm practices as defined in section 1.1 of the Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1, as amended or replaced.",2022-01-17,,https://www.strathroy-caradoc.ca/en/city-hall/resources/BYLAWS/07-22-Site-Alteration-By-law.pdf,BY-LAW 60-09,No,,No,,No,Yes,Yes,No,nonekeeping of animals on land for agricultural purposes,2009-11-16,,https://www.strathroy-caradoc.ca/en/resourcesGeneral/Bylaw6009-AnimalCareandControl.pdf,Animal Care and Control By-law,No,,,,,,,https://www.strathroy-caradoc.ca/en/resourcesGeneral/Bylaw6009-AnimalCareandControl.pdf,Bylaw No. 34-13,No,,2013-04-15,,https://www.strathroy-caradoc.ca/en/resourcesGeneral/Bylaw3413TREEBYLAWANDTREEPLANTINGPOLICY.pdf,YES,YES,NO,NO,YES,NO,
"Strong, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2016-009,No,,No,,No,Yes,Yes,No,Other,2016-04-12,,https://www.strongtownship.com/en/local-government/resources/By-laws/Dog-By-law-2016-009_fee-update-2021_amended-2021.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"Sundridge, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2019-039,No,,No,,No,Yes,Yes,No,No,2019-06-26,,https://irp.cdn-website.com/2213ca44/files/uploaded/2019-039-Respecting-the-Care-and-Control-on-Animals-Consolidated.pdf,,,,,,,,,,BY-LAW NO. 2019-019,No,,2019-02-27,,https://irp.cdn-website.com/2213ca44/files/uploaded/2019-019-Tree-Canopy-and-Natural-Vegetation-Policy.pdf,NO,,NO,,,,
"Tarbutt and Tarbutt Additional, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 6-2013,Yes,a dog that works/lives with domestic farm animals to portect them from predators and is used exclusively for bona fide farming operations including herding.,No,,Yes,No,No,,none,2013-12-18,,https://tarbutt.ca/wp-content/uploads/2022/01/dogbylaw.pdf,,,,,,,,,,By-Law 05-2019,No,,2019-02-20,,https://tarbutt.ca/wp-content/uploads/2023/02/5-2019-Policy-for-the-protection-and-enchancement-of-the-tree-canopy.pdf,NO,,NO,,,,
"Tay Valley, Tp",By-Law No. 2019-045,No,,2019-12-02,2024-12-02,https://www.tayvalleytwp.ca/Modules/Bylaws/Bylaw/Download/7a424a67-9401-4aab-86a3-ebf3c9074d52,,,,,,,,,,,,,BY-LAW NO. 01-50,No,,No,,No,Yes,Yes,No,none,2001-10-23,,https://www.tayvalleytwp.ca/Modules/Bylaws/Bylaw/Download/f9672eda-ca88-47d9-a815-b30dd62dfa22,,,,,,,,,,By-law 2020-012,Yes,"9.0 EXCEPTIONS9.1 Where a property is used as an Agricultural Use, the property is exempt fromthis policy.",2020-08-25,,https://www.tayvalleytwp.ca/Modules/Bylaws/Bylaw/Download/5324458a-2566-4302-bdd4-cfbc246b6095,NO,,NO,,,,
"Tay, Tp","By-Laws 2024-04, 2024-05, 2024-06",Yes,"Other Exemptions: 3.8.1 Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to:(b) Farm buildings;",2019-02-06,2024-02-06,https://www.tay.ca/media/hogl4l3z/by-law-2024-04-establish-development-charges-pertaining-to-general-services-and-services-related-to-a-highway.pdf,,,,,,,BY-LAW NO. 98-43,No,,2012-06-13,,https://www.tay.ca/media/m1afc4u2/dumping-fill-by-law.pdf,BY-LAW NO. 2017-43,No,,No,,No,Yes,Yes,No,,2018-04-25,,https://www.tay.ca/media/ctgdalit/canine-control-dog-licensing-by-law.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"Tecumseh, Tp",By-Law Number 2024-063,Yes,"Exemptions 3.5. Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: a) the development of non-residential farm buildings constructed for bona fide farming uses;  where ""Farm building"" means that part of a bona fide farm operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use;",2019-08-13,2024-08-31,"https://www.tecumseh.ca/media/dowfgxyz/by-law-2024-063-development-charges-by-law-axes.pdf:~:text=Tecumseh,developments%20or%20portions%20of%20developments",,,,,,,BY-LAW 2004-29,No,SECTION 5 - ADDITIONAL AGRICULTURAL ZONE PROVISIONS,2004-05-18,,https://www.tecumseh.ca/en/town-hall/resources/Documents/BYLAW-2004-29-Dumping-and-Grading.pdf,By-law No. 2003-91,No,,No,,No,Yes,Yes,No,NOT KNOWN,2003-11-18,,https://www.tecumseh.ca/en/living-here/resources/Documents/By-Laws/2003-091-Dog-Control.pdf,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,NO,https://www.tecumseh.ca/media/pnsbvatx/bylaw-2003-57-fence.pdf
"Tehkummah, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2019-34,No,,No,,No,Yes,Yes,No,none,2020-12-04,,https://tehkummah.ca/wp-content/uploads/2020/02/Bylaw-2019-034-Animal-Control-REVISED-Feb-4-2020.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"Temagami, M",,,,,,,,,,,,,,,,,,,BY-LAW NO. 10-870,No,,No,,No,Yes,Yes,No,"4 (dogs and cats combined, zoned ""agricultural"" use)",2010-01-14,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_12703011/File/Services/By-Law%20Enforcement/Animal%20Control%20&amp;%20Licensing/10-870%20-%20Animal%20Control%20amended%20.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"Temiskaming Shores, C",,,,,,,,,,,,,,,,,,,By-law No. 2013 – 051,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose;",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm;,Yes,No,Yes,Yes,"none, 5 otherwiseNotwithstanding Section 4.2.1 this requirement shall not apply to owners of Livestock Guardian Dogs and Herding Dogs while such dogs are kept in an area which is zoned “agricultural’ pursuant to the Zoning By-Law and said dogs are kept for agricultural uses in accordance with their defined function.",2013-12-03,,https://www.temiskamingshores.ca/uploads/87/Doc_635469998415301899.pdf?ts=638429160795595988,,,,,,,,,,,,,,,,YES,YES,NO,NO,NO,NO,https://www.temiskamingshores.ca/en/resident/resources/Building/Bylaw-No-2013-183---Fences.pdf
"Terrace Bay, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 30-2005,No,,No,,No,Yes,Other,No,none,2005-11-14,,https://terracebay.civicweb.net/filepro/documents/search/?keywords=animal&amp;location=108&amp;preview=26390,Animal Regulate and Control By-law,No,,,,,,,"https://terracebay.civicweb.net/filepro/document/26390/By-law%2030-2005,%20A%20by-law%20to%20provide%20for%20the%20regulation%20and%20control%20of%20Dogs%20and%20certain%20other%20Animals.pdf",,,,,,,NO,,NO,,,,
"Thames Centre, M",,Yes,2) Development Charges as per this by- law shall not apply to land that is owned by and used for the purposes of:a non- residential farm building constructed for bona fide farm uses;,2022-03-07,,https://www.thamescentre.on.ca/sites/default/files/2022-03/017-2022-Development%20Charges%20By-law.pdf,,,,,,,,,,,,,BY- LAW NO. 63- 2022,No,,No,,No,Yes,No,,NOT KNOWN,2022-07-11,,https://www.thamescentre.on.ca/sites/default/files/2022-07/063-2022.pdf,,,,,,,,,,BY-LAW  5738,No,,2004-06-08,,https://www.middlesex.ca/sites/default/files/Woodlands_Bylaw.pdf,YES,NO,YES,YES,YES,YES,
"The Archipelago, Tp",,,,,,,,,,,,,Draft,No,,,,https://archipelago2021.municipalwebsites.ca/ckfinder/connector?command=Proxy?=en&amp;type=Files&amp;currentFolder=%2F&amp;hash=c245c263ce0eced480effe66bbede6b4d46c15ae&amp;fileName=Draft%20Site%20Alteration%20By-law%20(Nov%202023).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,,
"The Blue Mountains, Tp",By-Law Number 2024 – 29,Yes,"Categories of Exempt Uses 20. The following categories of uses are hereby designated as being exempt from the payment of development charges: (3) land, buildings or structures for agricultural use which do not receive municipal sanitary sewer or water supply services;  where “agricultural use” means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit, used, designed or intended to be used for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, bee keeping, dairying, fallow, field crops, fish farming, forestry, fruit farming, horticulture, livestock, market gardening, pasturage, poultry keeping, the growing, raising, packing, treating, storing, and sale of produce produced on the premises, and other activities customarily carried on in the field of agriculture, including the cultivation of cannabis;",2024-04-15,,https://www.thebluemountains.ca/media/12215,,,,,,,BY-LAW NO. 2002 – 78,No,,2002-10-28,,https://www.thebluemountains.ca/sites/default/files/2021-09/Fill-By-law-2002-78-Office-Consolidation.pdf,BY-LAW NO. 2006-32,No,,No,,No,Yes,Yes,No,"none, 3 otherwise2.2 Section 2.2 shall not apply to prevent the keeping of hunting and/or working dogs in addition to the maximum set-out provided the dwelling unit and/or individual conveyable land is located in a rural area.",2006-04-24,,https://www.thebluemountains.ca/sites/default/files/2021-09/2006-32-By-law-to-Control-and-Regulate-Dogs-within-The-Blue-Mountains-Consolidated.pdf,,,,,,,,,,BY-LAW NO. 2010-68,Yes,3. EXEMPTIONSl) the destruction of trees occuring as an integral component of an active farm operation.,2010-10-13,,https://www.thebluemountains.ca/sites/default/files/2021-09/2010-68%20Tree%20Preservation%20By-Law.pdf,YES,YES,NO,YES,YES,NO,
The Nation Municipality,BY-LAW No. 63-2023,Yes,"4) Notwithstanding Section 3 of this By-law and in accordance with the statutory exemptions set out in the Act, Development Charges shall not be imposed with respect to: • Agricultural use buildings or structures.  where ""agricultural use"" is not explicitly defined.",2023-04-03,,https://nationmun.ca/wp-content/uploads/2023/04/63-2023-Dev-Chg-By-Law.pdf,,,,,,,,,,,,,BY-LAW NO. 61-2022,No,,No,,No,Yes,Yes,No,NOT KNOWN,2022-03-28,,https://nationmun.ca/wp-content/uploads/2023/01/61-2022-ID-96651.pdf,Animal Care and Control By-law,No,,,,,,,https://nationmun.ca/en/council-staff/by-laws-policies,,,,,,,YES,YES,NO,YES,YES,NO,https://nationmun.ca/wp-content/uploads/2021/11/By-law-134-2012-and-45-2014-Fence.pdf
"The North Shore, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO 23-57,No,,No,,No,Yes,Yes,No,No,2023-08-16,,https://townshipofthenorthshore.ca/documents/assets/uploads/files/en/23-57_with_approved_fines.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Thessalon, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 1248,No,,No,,No,No,No,No,,2004-10-04,,https://thessalon.ca/wp-content/uploads/2020/03/Animal-Control-Dogs-Bylaw-1248-7.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Thornloe, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Thorold, C",BY-LAW NO. 41-2024,Yes,"Agricultural Uses22. Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or industrial uses shall be exempt from the provisions of this By-law.",2024-06-03,,https://www.thorold.ca/en/city-hall/resources/Finance/By-Law-41-2024---Development-Charges.pdf,,,,,,,By-law No. 17-2021,Yes,PART VI — EXEMPTIONS (m) (ii) carried on by Owners or properties that have an active registration as a “farming business” as defined in the Farm Registration and Farms Organization Funding Act and are in good standing under that statute;,,,https://www.thorold.ca/en/resourcesGeneral/By-law-No.-17-2021-Site-Alteration.pdf,By-law No. 79-2017,No,,No,,No,Yes,No,,NOT KNOWN,2017-08-08,,https://www.thorold.ca/en/business-services/resources/BUILDING-/BY_LAWS/79-2017-Animal-Care-and-Control.pdf,Animal Care and Control By-law,No,,,,,,,https://www.thorold.ca/en/business-services/resources/BUILDING-/BY_LAWS/79-2017-Animal-Care-and-Control.pdf,,,,,,,YES,YES,YES,YES,YES,YES,https://www.thorold.ca/en/city-hall/resources/Documents/By-Law-28-2008.pdf
"Thunder Bay, C",,,,,,,,,,,,,BY-LAW NUMBER 135 1997,No,,1997-06-23,,given by emailhttp://given by email,Municpal CodeChapter 232ANIMAL - KEEPING,No,,No,,No,Yes,Yes,No,none,2005-07-12,,https://www.thunderbay.ca/en/city-hall/resources/Documents/By-laws/AnimalKeepingBylaw.pdf,,No,,,,,,,,,,,,,,YES,YES,YES,YES,NO,NO,https://www.thunderbay.ca/en/city-hall/resources/Documents/By-laws/FenceBy-law.pdf
"Tillsonburg, Tp",By-Law No. 2024-067,Yes,"3. Applicable Lands3) This by-law shall not apply to:a) Farm Buildings as defined herein, ""Farm Building"" means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and excludes residential uses.",2025-06-12,,https://www.tillsonburg.ca/media/yyclnqdd/tillsonburg-dc-by-law-june-13th-2024-update.pdf?id=46017&amp;dbid=0&amp;repo=Tillsonburg-Public,,,,,,,,,,,,,BY-LAW 2021-013,No,,No,,No,Yes,Yes,No,"none, 3 otherwisedoes not apply to d. The keeping of animals on lands zoned for agricultural purposes;",2021-01-25,,https://lfpp.oxfordcounty.ca/WebLink/edoc/47486/2021-013%20Consolidated.pdf?dbid=0&amp;repo=Tillsonburg-Public,Animal Licensing By-law,No,,,,,,,https://lfpp.oxfordcounty.ca/WebLink/edoc/47486/2021-013%20Consolidated.pdf?dbid=0&amp;repo=Tillsonburg-Public,,,,,,,YES,YES,YES,YES,NO,YES,https://www.tillsonburg.ca/media/anbhcnbo/doing-it-right-fences-2023.pdf
"Timmins, C",,,,,,,,,,,,,BY-LAW No. 2019-8343,No,,2019-06-25,,https://timmins.civicweb.net/filepro/documents/search/search?exact=site%20alteration%20by-law&amp;page=1&amp;location=67&amp;preview=20697,BY-LAW No. 2021- 8593,No,,No,,No,Yes,No,,,2021-08-10,,https://timmins.civicweb.net/filepro/documents/search/search?exact=animal%20control&amp;page=1&amp;preview=111269,Exotic Pets By-law,No,,,,,,,https://timmins.civicweb.net/filepro/document/20699/Exotic%20Pets%20By-Law.pdf,BY-LAW No. 2019-8298,No,,2019-03-19,,https://timmins.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=67&amp;preview=74622,YES,YES,YES,YES,YES,YES,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_11976345/File/Our%20Services/Enforcement%20Services/City%20of%20Timmins%20By-Law%202011-7128%20Fence.pdf
"Tiny, Tp",By-Law No. 20-084,Yes,"8. Exemptions for Certain Building/Uses 8.1 This By-law shall not apply to land that is owned by and used for the purposes of: (d) a non-residential farm building, save and except for the gross floor area within a greenhouse that is used for the purposes of carrying on retail sales to which development charges shall be imposed, calculated and collected in accordance with the rate set out in Schedule ""B""  where ""farm building"" means that part of a bona fide farm operation encompassing barns, grain bins, greenhouses, and other ancillary development to an agricultural use, but excludes residential uses, onfarm diversified uses and cannabis production facilities.",2020-12-21,2026-01-01,https://www.tiny.ca/media/3177,,,,,,,,,,,,,BY-LAW NO. 02-115,No,,No,,No,Yes,No,,,2002-12-09,,https://www.tiny.ca/media/3180,,No,,,,,,,,,,,,,,NO,,,,,,
"Toronto, C",BY-LAW 1137-2022,No,,2022-08-15,,https://www.toronto.ca/legdocs/bylaws/2022/law1137.pdf,,,,,,,,,,,,,"TORONTO MUNICIPAL CODECHAPTER 349, ANIMALS",Other,"GUARD DOG - A dog used for security purposes on land legally used for industrial or commercial purposes.  **LGD is not defined but they would likely be defined under ""guard dog"" since most farms in Toronto would be on  industrial/commerical land**",No,,No,Yes,Yes,No,NOT KNOWN,2023-07-27,,https://www.toronto.ca/legdocs/municode/1184_349.pdf,,No,,,,,,,,TORONTO MUNICIPAL CODEChapter 813TREES,No,,2022-05-12,,https://www.toronto.ca/legdocs/municode/1184_813.pdf,YES,YES,YES,NO,NO,NO,https://www.toronto.ca/legdocs/municode/1184_447.pdf
"Trent Hills, M",By-law No. 2024-024,Yes,"Other Exemptions 3.13. Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: iii. Buildings or structure used as farm buildings;  where ""Farm Building"" means any part of a building which is not used for residential purposes and which building is located on 3 or more hectares of land and which building is used solely for farm and farm related activities carried out on the same farm and includes barns, implement sheds, seasonal roadside stands and silos but does not include processing or year round wholesale or retail facilities;",2024-02-20,2024-02-20,https://trenthills.civicweb.net/document/179228/,,,,,,,,,,,,,By-Law No. 2018-088,Yes,"a dog that is specifically trained to work and live with domestic farm animals (i.e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes the following breeds; Akbash, Great Pyrenees, Komondor, and Maremma, and where the owner(s) can demonstrate that they are an active livestock farmer registered with one of the following associations; Ontario Federation of Agriculture (OFA), Christian Farms Federation of Ontario (CFFO), or the National Farmers Union (NFU),",Other,"""Farm Working Dog"" means a dog that is specifically trained to and actively assists its owner(s) with the herding of livestock and where the owner(s) can demonstrate that they are an active livestock farmer registered with one of the following associations; Ontario Federation of Agriculture (OFA), Christian Farmers Federation of Ontario (CFFO), or the National Farmers Union (NFU).",Yes,No,Yes,No,"3.2 Council will consider written requests for exemptions to the maximum number of dogs in special circumstances, and when the number of dogs exceeds the maximum when Farm Working Dog(s) and Livestock Guardian Dog(s) are included in the total number of dogs.",2018-11-06,,https://trenthills.civicweb.net/filepro/documents/112920/?preview=113013,,,,,,,,,,,,,,,,YES,YES,YES,,,YES,"https://trenthills.civicweb.net/filepro/documents/?expanded=66269,157902&amp;preview=160863"
"Trent Lakes, M",By-law No. B2019-041,Yes,"Categories of Exempt Uses18. The following categories of uses are hereby designated as being exempt from the payment of development charges:e) the development of bon-residential farm buildings constructed for bona fide farm uses, which qualify as a farm business, being that which operates with a valid FBRM and is assessed in the FRTC",2024-04-01,2034-04-01,https://www.trentlakes.ca/media/ewsjuc3e/development-charges-pamphlet.pdf,,,,,,,,,,,,,By-law No. B2023-064,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2023-08-08,,https://www.trentlakes.ca/en/government/resources/Short-Term-Rental-Resources/B2023-064---Dogs-and-Kennels.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Tudor and Cashel, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 14-2003 (Dog License By-law),No,,No,,No,Yes,Yes,Yes,6,2003-10-07,,https://tudorandcashel.com/wp-content/uploads/2021/05/2003-0014-Dog-License-By-law.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Tweed, M",,,,,,,,,,,,,,,,,,,By-Law No. 2014-07,No,,No,,No,Yes,Yes,No,NOT KNOWN,2014-02-18,,https://www.tweed.ca/photos/custom/Animal%20Control%20By-Law%202014-07.pdf,,,,,,,,,,BY-LAW NO. 2019-09,No,,2019-03-13,,https://portal.laserfiche.ca/Portal/DocView.aspx?id=10157&amp;repo=r-00015e373396&amp;searchid=619600cf-3faa-46a4-96b4-fb0cf3c44974&amp;preview=XMQ4VIF&amp;ref=designer,NO,,,,,,
"Tyendinaga, Tp",,,,,,,,,,,,,,,,,,,By-law 04-2022,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2022-01-17,,https://tyendinagatownship.com/wp-content/uploads/2022/07/2021-60-Noise-Regulating.pdf,,,,,,,,,,,,,,,,NO,,,,,,
