Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Huron Shores,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #22-76,2022-09-28,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; herding dog; working dog,"... e, chain or other restraining device for a
dog which may not exceed 2 metres (6.6 feet) in length, except
for pit bull dogs the leash for which shall not exceed 1.8 metres
(5.9 feet) in length;
1.18 “

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” (LGDs) means a dog that works
and/or lives with domestic farm animals (e.g. cattle, sheep,
poultry) to protect them while repelling predators and is used
exclusively for that purpose.
1.19 “Muni ...",https://huronshores.ca/wp-content/uploads/2023/03/22-76-Animal-Control-By-law-legal-size-paper.pdf,Animal Services (https://huronshores.ca/residents/animal-control/),LGD keywords found in bylaw: livestock guardian; guardian dog; herding dog
Minden Hills,Haliburton,Lower Tier,Central,NO BY-LAW IN PLACE,,,No,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animal Services (http://www.mindenhills.ca/living-in-minden-hills/animal-services/),No bylaw link in DB but animal-related links found on website
Larder Lake,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 1444-13,,No,NO LGD PROVISIONS,200 OK,,,,https://www.larderlake.ca/wp-content/uploads/2022/03/Signed-By-law-No-1444-13-Animal-Control-By-law.pdf,,Has animal control bylaw but no LGD-specific provisions found
Midland,Simcoe,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NO. 2009-18,2009-03-23,No,NEEDS REVIEW,HTTP 404,,,,https://www.midland.ca/en/living-in-midland/By-laws-Resource-Folder/By-law-PDFs/By-law-2009-18-Animal-Control-Dogs.pdf,Animals & Pets (http://www.midland.ca/living-here/animals-pets/),Had a bylaw link but it's now broken — may have been replaced
Merrickville-Wolford,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW No. 22 - 00,2000-08-21,No,NEEDS REVIEW,HTTP 404,,,,https://www.merrickville-wolford.ca/media/k2/attachments/file_4eef84a424feb_www.merrickville-wolford.ca_0022DOG_3.pdf,Animal Control (http://www.merrickville-wolford.ca/residents/animal-control),Had a bylaw link but it's now broken — may have been replaced
Melancthon,Dufferin,Lower Tier,Central,COMPLETE,BY-LAW NO. 17-2003,2003-06-05,No,NEEDS REVIEW,200 OK,,,,https://melancthontownship.ca/wp-content/uploads/2017/03/canine.pdf,,Link live but bylaw name not found in document — may have been replaced
McMurrich-Monteith,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #07-2023,2023-03-07,No,NO LGD PROVISIONS,200 OK,,,,https://irp.cdn-website.com/af131183/files/uploaded/DOC033123-03312023132315.pdf#https://irp.cdn-website.com/af131183/files/uploaded/DOC033123-03312023132315.pdf,,Has animal control bylaw but no LGD-specific provisions found
Matachewan,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2013-15,2013-06-17,No,NO LGD PROVISIONS,200 OK,,,,https://www.matachewan.com/wp-content/uploads/2023/11/By-law-No.-2013-15.pdf,,Has animal control bylaw but no LGD-specific provisions found
Mississauga,Peel,Lower Tier,Central,COMPLETE,BY-LAW 0098-2004,2004-03-10,No,LINK BROKEN,HTTP 403,,,,https://www.mississauga.ca/wp-content/uploads/2023/11/Animal-Care-and-Control-By-law-0098-2004.pdf,Animals and pets (https://www.mississauga.ca/services-and-programs/animals-and-pets/); Pet licence (https://www.mississauga.ca/services-and-programs/animals-and-pets/license-a-pet/),HTTP HTTP 403 — link may be dead
Mississippi Mills,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 14-21,2014-05-06,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.mississippimills.ca/en/municipal-hall/resources/Documents/By-laws/Bylaw-14-21-Animal-Control-consolidated.pdf,Animal Control Services (http://www.mississippimills.ca/municipal-services/animal-control-services/),Had a bylaw link but it's now broken — may have been replaced
Moonbeam,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 16-18,2018-07-10,No,NEEDS REVIEW,HTTP 404,,,,https://moonbeam.civicweb.net/filepro/documents/search/search?keywords=dog&page=1&location=3572&preview=10330,,Had a bylaw link but it's now broken — may have been replaced
McKellar,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Morley,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
McDougall,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2013-33,2013-05-15,No,NEW LGD PROVISIONS,200 OK,YES (exact),herding dog,"... RECREATION AREA means a specific confined area
—
designated by Council, from time to time, where a dog owner is permitted to allow
his dog to run at large, and is not required to leash such dog.
FARM 

 ---> HERDING DOG <--- 

 means a dog used for herding offarm fowl or animals and is
—
actively participating in herding.
1.7 IMPOUND means to confiscate, confine, hold ortake possession.
-
1.8 KENNEL means a place or confine ...",https://mcdougall2022.municipalwebsites.ca/Editor/images/By-laws/Dog%20Licensing%20By-law.pdf,,LGD keywords found in bylaw: herding dog
McNab-Braeside,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 2018-25,2018-06-05,No,NO LGD PROVISIONS,200 OK,,,,https://www.mcnabbraeside.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjQ4IjtzOjM6ImtleSI7aToyO30=,,Has animal control bylaw but no LGD-specific provisions found
Neebing,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2014-028,2019-12-18,No,NEEDS REVIEW,HTTP 404,,,,https://www.neebing.org/en/your-local-government/resources/By-Laws-and-Policies/2014-028-Dog-Control-By-law-consolidated.pdf,Animal Services (http://www.neebing.org/living-in-neebing/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Muskoka Lakes,Muskoka,Lower Tier,Northern,COMPLETE,BY-LAW 2021-090,,Yes,CURRENT,200 OK,YES (exact),,,https://muskokalakes.civicweb.net/filepro/documents/78263/?preview=78271,,"Link live, bylaw name confirmed in document"
Ashfield-Colborne-Wawanosh,Huron,Lower Tier,Western,COMPLETE - FARM FRIENDLY,BY-LAW NUMBER 30-2022,2022-04-05,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; guardian dog; herding dog,"... cks,
turkeys, and guinea fowl; and domesticated farm animals including horse,
donkey, mule, bull, ox, cow or other cattle, goat, swine, sheep, llama, mink, fox,
alpaca, rabbit, emu and ostrich.
2.17 ""

 ---> LIVESTOCK GUARDIAN <--- 

 Dog"" means a Dog that works and/or lives with domestic
farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators
and is used exclusively for that purpose.
2.18 ""Municipality'' ...",https://acwtownship.ca/content/government/by-laws/animal-control/30-2022-animal-control.pdf,Animal Control (https://acwtownship.ca/municipal-services/animal-control),"Newer bylaw detected: to as Schedule ""A"" and forms part of this
By-law.
18.3 By-law 38-2021 is hereby repealed and replaced by this By-Law.
Page 11 of 17
By-Law 30-2022 - Animal Control
18.4"
Montague,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 4004-2023,2023-08-01,No,NO LGD PROVISIONS,200 OK,,,,https://www.montaguetownship.ca/images/4004-2023_-_Animal_Control_By-Law.pdf,By-Law Enforcement & Animal Control (http://www.township.montague.on.ca/residents/services/bylaw-enforcement),Has animal control bylaw but no LGD-specific provisions found
Newmarket,York,Lower Tier,Central,COMPLETE - FARM FRIENDLY,By-law 2020-30,2020-06-29,No,LINK BROKEN,HTTP 404,,,,https://www.newmarket.ca/LivingHere/Documents/Bylaw%20Consolidations/2020-30%20-%20Animal%20Control%20By-law%20-%20Consolidation.pdf,Animal Services (http://www.newmarket.ca/resident-services/animal-services); Animal Licensing and Registration (http://www.newmarket.ca/resident-services/animal-services/animal-licensing-regis); Living With Wildlife (http://www.newmarket.ca/resident-services/animal-services/living-wildlife),HTTP HTTP 404 — link may be dead
Niagara Falls,Niagara,Lower Tier,Central,COMPLETE,By-Law No. 2019 - 35,2019-03-19,No,LINK BROKEN,HTTP 404,,,,https://niagarafalls.ca/pdf/by-laws/Animal_control.pdf,Animal Services (http://www.niagarafalls.ca/property-home-and-environment/animal-services/),HTTP HTTP 404 — link may be dead
Moosonee,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW No. 05-16,2016-01-26,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.moosonee.ca/wp-content/uploads/2018/11/05-16-Animal-Control.pdf,Animal Control (http://www.moosonee.ca/moosonee-animal-control/),Has animal control bylaw but no LGD-specific provisions found
Norfolk,Norfolk,Single Tier,Western,NO BY-LAW IN PLACE,By-Law No. 2014-46,2014-04-08,No,NEEDS REVIEW,HTTP 502,,,,https://docs.norfolkcounty.ca/FH/WebClientPortal/DownloadForm.aspx?filename=2014-46%20.pdf&token=2eb600b4-5928-4b59-874b-fe62ed7bd36d&filesize=1648631&contenttype=True,,Had a bylaw link but it's now broken — may have been replaced
North Algona Wilberforce,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
North Dumfries,Waterloo,Lower Tier,Western,COMPLETE - FARM FRIENDLY,BY-LAW NUMBER 3160-20,2020-06-22,No,LINK BROKEN,HTTP 404,,,,https://www.northdumfries.ca/en/township-services/resources/Documents/By-law-No.-3160-20-Regulate-Dogs-and-Licence-Dog-Kennels-REPEAL-BY-LAWS-1268-90-1294-91-2255-07.pdf,Animal Control (http://www.northdumfries.ca/living-here/animal-control/),HTTP HTTP 404 — link may be dead
Nipissing,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2022-42,2022-09-20,No,NO LGD PROVISIONS,200 OK,,,,https://nipissingtownship.com/wp-content/uploads/2022/10/2022-42-Dog-ByLaw.pdf,Animal Control (https://nipissingtownship.com/municipal-departments/animal-control/),Has animal control bylaw but no LGD-specific provisions found
Middlesex Centre,Middlesex,Lower Tier,Western,COMPLETE,"BY-LAW NUMBER 2012-030
Animal Control By-Law (Ammended 2017)",2012-03-21,No,OUTDATED,200 OK,YES (number_match),,,https://www.middlesexcentre.on.ca/sites/default/files/2019-12/2012-030%20Animal%20Control%20By-Law%20with%20amending%202017-014%202019-111.pdf,,"Newer bylaw detected: declaration shall not affect the validity of the remainder thereof.
16. BY-LAWS REPEALED
By-law Number 2009-005 of the Municipality of Middlesex Centre, and any other b"
Laurentian Valley,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2017-09-036,2017-09-19,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... ng
assistance dog, are exempt from the payment of all license fees applicable
pursuant to this By-law. Said dog shall be Licensed and wear the current years
license tag issued by the licensing agent.


 ---> WORKING DOG <--- 

s, where a certificate is produced from a recognized training
establishment stating that the dog is being used as a 

 ---> WORKING DOG <--- 

 to assist an
ill or disabled person, as well as for therapeutic reasons ...",https://www.lvtownship.ca/en/lv-government-services/resources/Documents/2017-09-036-Animal-Control-Bylaw-2006-01-271-UA-FINAL.pdf,,LGD keywords found in bylaw: working dog
New Tecumseth,Simcoe,Lower Tier,Central,COMPLETE,By-law 2017-077,2017-05-29,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; working dog; [pattern: guardian dogs are exempt from dog tag fee],"... es;
1.1.16 ""Humane Society"" means the Alliston & District Humane
Society’;
1.1.17 “Kennel” means any premises where more than five (5) Dogs
are kept, boarded or bred as a commercial business;
1.1.18 “

 ---> LIVESTOCK GUARDIAN <--- 

 Dogs” means a dog that is specifically
trained to work and/or live with domestic farm animals (i.e.
cattle, sheep) without causing harm while aggressively
repelling predators and is used exclusively ...",https://www.newtecumseth.ca/en/town-hall/resources/Documents/bylaws/Canine-Control-By-law-No.-2017-077-Consolidation-Accessible.doc.pdf,Animal Services (http://www.town.newtecumseth.on.ca/en/living-in-our-community/animal-services.as),"Newer bylaw detected: y reason,
the same shall not affect the validity of the by-law as a whole.
10.0 REPEALING
10.1 The Corporation of the Town of New Tecumseth By-law No. 93-141,
2008-110,"
North Bay,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 151-93,1994-01-31,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://northbay.ca/media/dx2mhnmi/1993_151.pdf,,Has animal control bylaw but no LGD-specific provisions found
Minto,Wellington,Lower Tier,Western,COMPLETE,By-Law 2019-39,2019-04-16,No,OUTDATED,200 OK,YES (exact),,,https://minto.nyc3.cdn.digitaloceanspaces.com/By-Laws/Animal-By-Laws/Dog-Licensing-By-Law-2019-39.pdf,Animal Services (https://www.town.minto.on.ca/residents/animal-services),"Newer bylaw detected: hall remain in fullforce and effect.
R. Repeal of By-laws
1. This By-law hereby repeals By-law 2Ot6-31
Read a first, second, third time and finally passed in open Coun"
North Kawartha,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,By-law 2020-0015,2020-02-04,No,NEEDS REVIEW,HTTP 404,,,,https://www.northkawartha.ca/uploads/15/Doc_637412964841788444.pdf?ts=638428280899840308,,Had a bylaw link but it's now broken — may have been replaced
Milton,Halton,Lower Tier,Central,COMPLETE - FARM FRIENDLY,BY-LAW 90-2004,2004-10-25,No,OUTDATED,200 OK,YES (exact),,,https://www.milton.ca/en/town-hall/resources/Accessible_Bylaws/090-2004-Animal-Control--Consolidated.pdf,Animal Services (http://www.milton.ca/en/living-in-milton/animal-services.aspx),"Newer bylaw detected: me, age, gender, colour, breed and whether
the dog is spayed or neutered;
(iii) repealed; (As amended by By-law No. 099-2013)
(iv) Deleted pursuant to By-law No. 137-20"
North Grenville,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 61-14,2014-08-11,No,NEEDS REVIEW,HTTP 404,,,,https://www.northgrenville.ca/component/edocman/animals-care-control-61-14/viewdocument/6?Itemid=0,Dog Licences (http://www.northgrenville.ca/services-and-payments/municipal-services/animal-ser),Had a bylaw link but it's now broken — may have been replaced
Mulmur,Dufferin,Lower Tier,Central,COMPLETE,BY-LAW NO. 53.19,2019-11-06,No,OUTDATED,200 OK,YES (exact),,,https://mulmur.ca/content/town-hall/bylaws/animal-care-and-control-by-law-53-2019.pdf,Animal Services (https://mulmur.ca/live/animal-services),"Newer bylaw detected: 10
REPEAL - ENACTMENT
10.1 The following Township of Mulmur By-laws are hereby repealed
By-law 11-02
By-law 13-14
By-law 13-12
By-law 41-13
10.2 Effective Date
This by"
North Glengarry,"Stormont, Dundas and Glengarry",Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 44-2008,2008-10-27,No,NEEDS REVIEW,HTTP 404,,,,https://www.northglengarry.ca/en/town-hall/resources/By-Laws/2021_Combined-Animal-Control-By-law.pdf,Animal Control (http://www.northglengarry.ca/residents/animal-control/),Had a bylaw link but it's now broken — may have been replaced
Nipigon,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law No. 1581,2004-12-07,No,NO LGD PROVISIONS,200 OK,,,,https://www.nipigon.net/documents/by-law-no-1581-cat-and-dog-licensing/viewdocument/113,,Has animal control bylaw but no LGD-specific provisions found
Newbury,Middlesex,Lower Tier,Western,COMPLETE,"By-law Number 131-15
Animal Control By Law",2015-12-15,No,LINK BROKEN,HTTP 400,,,,https://newbury.ca/animal_control_by-law.pdf,,HTTP HTTP 400 — link may be dead
Norwich,Oxford,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 15-2017,2021-02-09,No,NEEDS REVIEW,HTTP 404,,,,https://www.norwich.ca/en/resources/Images/By-law-15-2017_Dog-Control-Consolidated-with-By-law-09-2021.pdf,,Had a bylaw link but it's now broken — may have been replaced
Meaford,Grey,Lower Tier,Western,COMPLETE,BY-LAW NUMBER 078-2013,2013-10-28,Yes,OUTDATED,200 OK,YES (exact),working dog,"... ed"" means a person that possesses vision of less than
6/60 on a Snellen Acuity Test in his better eye after the best possible
correction or has a field vision of acuity of less than 20 degrees;
1.36 ""

 ---> WORKING DOG <--- 

"" shall mean a dog trained, kept and utilized for work
purposes including, but not limited to, livestock handling and/or guarding,
pest and predator control, recreation dog sled use and police or resc ...",https://www.meaford.ca/en/our-government/resources/Documents/By-Laws/78-2013-Control-Dogs-and-Govern-the-Care-of-Animals.pdf,Animal Services (http://meaford.ca/en/living-here/animal-services.aspx),"Newer bylaw detected: d
Charge's By-law
17. REPEAL
17.1 That By-laws 034-2012 and 030-2013 are hereby repealed.
17.2 That this By-law replaces and rescinds any existing By-laws or provisions"
Mattice-Val Cote,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 967,2023-11-01,No,NO LGD PROVISIONS,200 OK,,,,https://www.matticevalcote.ca/_files/ugd/93a5a9_4b94cb3f1b094c9da306dd06ad6d4c4a.pdf,,Has animal control bylaw but no LGD-specific provisions found
North Perth,Perth,Lower Tier,Western,COMPLETE,BY-LAW NO. 65-2014,2014-05-05,No,LINK BROKEN,HTTP 404,,,,https://www.northperth.ca/en/municipal-services/resources/Documents/Animal-Control-By-law.pdf,Animal Services (http://www.northperth.ca/home-property-roads/animal-services/),HTTP HTTP 404 — link may be dead
Niagara-on-the-Lake,Niagara,Lower Tier,Central,COMPLETE,BY-LAW NO. 5543-23,2023-11-23,No,OUTDATED,200 OK,YES (exact),working dog,"... n a Dog that restricts, or may restrict,
the Dog’s ability to breathe or swallow, or that causes, or may cause,
the Dog discomfort.
28. Sections 22 to 27 of this By-law shall not apply to:
(a) police 

 ---> WORKING DOG <--- 

s while they are in the course of fulfilling
their duties; and
(b) hunting Dogs that are under the direct supervision of a Person
who is a bona fide hunter actively engaged in hunting in
accordance wi ...","https://www.notl.com/sites/default/files/2024-04/5543-23%20-%20Animal%20Control%20By-law%201.pdf#:~:text=95.%20By,law%20shall",Animal Care & Control (http://www.notl.org/town-services/animal-care-control); Dog Licences (http://www.notl.org/town-services/animal-care-control/dog-licences); Coyotes (http://www.notl.org/town-services/animal-care-control/coyotes),"Newer bylaw detected: 3.
GENERAL
95. By-law No. 2948-95 A, 4512-11 & 4512B-21, as amended, are hereby
repealed.
96. Where a Court of competent jurisdiction declares any section or part of
a"
Nairn and Hyman,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2022-25,2022-09-12,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://nairncentre.ca/wp-content/uploads/2022/11/2022-25.By-law-Registering-of-dogs-controlling-impoundment.pdf,Animal Control (https://nairncentre.ca/municipal-services/animal-control/),Has animal control bylaw but no LGD-specific provisions found
O'Connor,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Mono,Dufferin,Lower Tier,Central,COMPLETE - FARM FRIENDLY,"BY-LAW NUMBER NO. 2002-62
amended up to 2019",2019-05-14,No,OUTDATED,200 OK,YES (number_match),working dog,"... p of the Dog is
transferred.
(vi) The Bylaw Enforcement Officer, Police, and Canine Control Officer is
notified within ten (10) days after the Dog has died.
(e) This Bylaw shall not apply to a Police 

 ---> WORKING DOG <--- 

.
16. Administration
(a) Council shall by resolution provide for the appointment of one or more persons to
act as Pound Keeper, Canine Control Officer and Licence Fee Collector and shall
provide for t ...",https://mono.civicweb.net/document/34102/,,"Newer bylaw detected: nd to be illegal shall be severed from the balance of
the by-law
17
21. By-laws repealed
By-Law Nos. 95-22, 91-37 and 92-13 are hereby repealed.
Original signed by:
Joh"
Oil Springs,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Oliver Paipoonge,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 316-2004,2004-03-22,No,NO LGD PROVISIONS,200 OK,NO,,,https://oliverpaipoonge.civicweb.net/filepro/documents/search/?keywords=animal&location=831&preview=83152,,Has animal control bylaw but no LGD-specific provisions found
North Frontenac,Frontenac,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-law #68-22,2022-09-23,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.northfrontenac.com/en/township-services/resources/Frequent-By-laws/By-law-Enforcement/68-22---Animal-Control-By-law.pdf,Animal Control (http://www.northfrontenac.ca/en/township-services/Animal-Control.aspx); Animal Control (http://www.northfrontenac.ca/en/township-services/Animal-Control.aspx?_mid_=1885),Has animal control bylaw but no LGD-specific provisions found
Ottawa,Ottawa,Single Tier,Eastern,COMPLETE - FARM FRIENDLY,"By-law No. 2003-077
amended 2022",3002-03-26,No,LINK BROKEN,HTTP 403,,,,https://ottawa.ca/en/living-ottawa/laws-licences-and-permits/laws/laws-z/animal-care-and-control-law-no-2003-077#section-5e70e857-baed-467f-b5f9-9aec252c9b39,,HTTP HTTP 403 — link may be dead
Oro-Medonte,Simcoe,Lower Tier,Central,COMPLETE,By -Law No. 2018- 005,2018-01-24,Yes,NEEDS REVIEW,200 OK,,,,https://docs.oro-medonte.ca/WebLink/PDF10/c9ba563d-a00c-494b-85d5-7fc7a65ab3f0/47282,,Link live but bylaw name not found in document — may have been replaced
Orillia,Simcoe,Single Tier,Central,COMPLETE,"Chapter 284
Dog - Licensing - Regulation",2023-09-25,No,LINK BROKEN,HTTP 404,,,,https://www.orillia.ca/Modules/Bylaws/Bylaw/Download/7fda9f8f-ad13-4eab-a255-37111c3d0ff3,Animal Control & Licensing (http://www.orillia.ca/en/living-here/animalcontrollicensing.aspx),HTTP HTTP 404 — link may be dead
Oshawa,Durham,Lower Tier,Central,COMPLETE,By-Law 14-2010,2010-03-08,No,LINK BROKEN,HTTP 404,,,,https://www.oshawa.ca/en/Document-Feeds/General-By-Laws/ResponsiblePetOwners14-2010.pdf,,HTTP HTTP 404 — link may be dead
North Stormont,"Stormont, Dundas and Glengarry",Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW #070-05,2005-12-13,No,NO LGD PROVISIONS,200 OK,,,,https://www.northstormont.ca/sites/northstormont.ca/files/2020-12/Animal-Control-By-law.pdf#https://www.northstormont.ca/sites/northstormont.ca/files/2020-12/Animal-Control-By-law.pdf,Animal Services (http://www.northstormont.ca/municipal-services/animal-services); Livestock Losses (http://www.northstormont.ca/municipal-services/animal-services/livestock-losses),Has animal control bylaw but no LGD-specific provisions found
Northeastern Manitoulin & The Isl,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law 2016-06,2016-03-01,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://nemi.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=2016-06%20-%20Animal%20Control%20-%20passed.pdf,Animal Control (http://www.townofnemi.on.ca/p/animal-control),Has animal control bylaw but no LGD-specific provisions found
Pelham,Niagara,Lower Tier,Central,COMPLETE,BY-LAW NO. 97-2010,1997-03-17,No,LINK BROKEN,HTTP 404,,,,https://www.pelham.ca/en/town-hall/resources/Documents/bylaws/Dog---Full.pdf,"Animal, Pets & Wildlife (http://www.pelham.ca/living-in-pelham/animal-pets-wildlife/)",HTTP HTTP 404 — link may be dead
North Huron,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 88-2019,2019-09-16,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://nhuron-pub.escribemeetings.com/filestream.ashx?DocumentId=21823,Animal Control Services (http://www.northhuron.ca/living-here/animal-control-services/),Has animal control bylaw but no LGD-specific provisions found
Owen Sound,Grey,Lower Tier,Western,NO BY-LAW IN PLACE,"BY-LAW NO. 2011-156
amended 2018",2018-06-26,No,NEEDS REVIEW,HTTP 404,,,,https://www.owensound.ca/en/resourcesGeneral/Documents/2011-156---Dog-By-law-CONSOLIDATED.pdf,Animal Services (http://www.owensound.ca/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Lincoln,Niagara,Lower Tier,Central,COMPLETE,BY-LAW NO. 2019-18,2019-02-19,No,OUTDATED,200 OK,YES (exact),working dog,"... sability or impediment;
(b)
A blind or visually impaired handler of a Service Dog if the feces were left
while the Dog was off the Premises of the handler and carrying out its duties; or
(c)
A police 

 ---> WORKING DOG <--- 

 while they are carrying out their duties.
TRANSPORTATION OF AN IMALS
3.18 For the purpose of this By-law, ""roadway"" means any street, highway or
other place, whether publicly or privately owned, any ...",https://www.lincoln.ca/media/337,Animal Services (http://www.lincoln.ca/services/municipal-law-enforcement/animal-services),"Newer bylaw detected: iously providing for the licensing, control and regulation of Animals
is hereby repealed.
9.10 This By-law shall come into force and take effect upon the date of
passag"
Pelee,Essex,Single Tier,Western,NO BY-LAW IN PLACE,"By-Law 2023-22
By-Law 1527 - Noise Control",2023-03-28,No,NO LGD PROVISIONS,200 OK,NO,,,https://www.pelee.org/wp-content/uploads/2023/04/By-Law-2023-22-Amended-Dog.pdf,,Has animal control bylaw but no LGD-specific provisions found
Papineau-Cameron,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2009-17,2009-07-14,No,NO LGD PROVISIONS,200 OK,,,,https://papineaucameron.ca/wp-content/uploads/2018/07/2009-17-Dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
Perth South,Perth,Lower Tier,Western,NO BY-LAW IN PLACE,By-Law No. 36-2022,2022-07-12,No,NEEDS REVIEW,NO LINK,,,,,Animal Control and Services (https://www.perthsouth.ca/en/living-here/animal-control-and-services.aspx),No bylaw link in DB but animal-related links found on website
Penetanguishene,Simcoe,Lower Tier,Central,COMPLETE,By-law 2011-51,2011-07-13,No,NEEDS REVIEW,200 OK,NO,,,https://penetanguishene.civicweb.net/filepro/documents/105965/?preview=105969,,Link live but bylaw name not found in document — may have been replaced
Plummer Additional,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2002-17,2002-11-06,No,NO ANIMAL CONTROL BYLAW,NO LINK,,,,,,No bylaw link and no animal control bylaw found on website
North Dundas,"Stormont, Dundas and Glengarry",Lower Tier,Eastern,NO BY-LAW IN PLACE,BYLAW No. 2023-100,2023-12-11,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... n another domesticated animal or person
without provocation or;
""Wading Pool"" means a wading pool, used for children play, whether
or not there is water and includes the concrete or asphalt decking.
""

 ---> WORKING DOG <--- 

"" means a dog that is trained specifically to assist
police and other law enforcement personnel in their work.
""Without Provocation"" means in the absence of teasing,
tormenting, abusing or assaulting ...",https://www.northdundas.com/sites/1/files/2023-12/Bylaw%202023-100%20To%20regulate%20the%20keeping%20and%20licensing%20of%20dogs.pdf,Animal Services (http://www.northdundas.com/municipal-services/animal-services); Livestock Losses (http://www.northdundas.com/municipal-services/animal-services/livestock-losses); Kennel Licenses (http://www.northdundas.com/municipal-services/animal-services/kennel-licenses),LGD keywords found in bylaw: working dog
"Perth, T",Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 3557,2004-05-25,No,NEEDS REVIEW,HTTP 404,,,,https://www.perth.ca/en/live-and-play/resources/Documents/2004-3557.pdf,Animal Services (http://www.perth.ca/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
